number,value,datetime_start,datetime_complete,duration,params_gamma_1,params_gamma_2,params_lambda,params_lr,params_n_clusters,params_n_points,params_optimizer,params_reg_lambda,params_reg_type,params_tanh_x,params_use_tanh,state
1055,52.690000000000005,2025-01-21 03:24:10.523327,2025-01-21 03:41:02.507897,0 days 00:16:51.984570,0.9178518954074323,1.2155914907531684,0.3830911094128058,0.029439087724986948,16,4,SGD,0.0009405057490722477,2,,False,COMPLETE
1056,52.81,2025-01-21 03:32:01.450149,2025-01-21 03:50:32.186599,0 days 00:18:30.736450,0.9649596604037664,1.2807630247384467,0.38892691614546177,0.020209928678394076,16,4,SGD,0.0009070174944612127,2,,False,COMPLETE
1057,52.89,2025-01-21 03:41:02.638842,2025-01-21 03:43:24.080093,0 days 00:02:21.441251,0.96715461724357,1.2383428321898071,0.3904874845369264,0.027865696195441967,21,5,SGD,0.0011845841716899026,2,,False,COMPLETE
1058,52.900000000000006,2025-01-21 03:43:24.179010,2025-01-21 03:46:57.458284,0 days 00:03:33.279274,1.006325847824046,1.2903475584857516,0.3982936076086262,0.021873893729897224,17,4,SGD,0.001215138213421899,2,,False,COMPLETE
1059,53.04,2025-01-21 03:46:57.571555,2025-01-21 03:50:48.026953,0 days 00:03:50.455398,0.9365302550569266,1.2672599631398842,0.40215873840995764,0.01781931015245329,18,4,SGD,0.023974732384217188,2,,False,COMPLETE
1060,53.2,2025-01-21 03:50:32.290641,2025-01-21 03:53:00.446065,0 days 00:02:28.155424,0.9993951373723109,1.3116076407186692,0.4099342369066146,0.025999580748808163,18,4,SGD,0.0013865268751304678,2,,False,COMPLETE
1061,52.839999999999996,2025-01-21 03:50:48.331990,2025-01-21 04:07:45.777650,0 days 00:16:57.445660,1.0075519285108314,1.3477544032232347,0.40599097998985706,0.02504940850355453,19,5,SGD,0.0013476159981631857,2,,False,COMPLETE
1062,53.059999999999995,2025-01-21 03:53:00.565539,2025-01-21 04:09:39.719514,0 days 00:16:39.153975,1.0233484739403151,1.3394562698132857,0.41935948514188226,0.02718908220215368,20,3,SGD,0.0013940660126070374,2,,False,COMPLETE
1063,52.89,2025-01-21 04:07:45.871589,2025-01-21 04:11:15.457289,0 days 00:03:29.585700,1.0362388681924428,1.3201614622833227,0.42157595046295754,0.025092969229841694,22,3,SGD,0.016271539561805548,2,,False,COMPLETE
1064,52.99,2025-01-21 04:09:39.827386,2025-01-21 04:11:56.340443,0 days 00:02:16.513057,1.0266271693650593,1.319537438969999,0.42442963849595583,0.029539437746081167,15,4,SGD,0.0018362085144377077,2,,False,COMPLETE
