number,value,datetime_start,datetime_complete,duration,params_centroids_new_old_ratio,params_gamma_1,params_gamma_2,params_lambda,params_lr,params_n_clusters,params_n_points,params_optimizer,params_reg_lambda,params_reg_type,params_tanh_x,params_use_tanh,state
88,53.059999999999995,2025-01-15 09:07:36.417926,2025-01-15 09:11:27.638991,0 days 00:03:51.221065,0.12857528180062694,1.0105707342078383,1.0265714798711514,0.4640483518295283,0.03429246670217914,17,3,SGD,0.5842341453691864,2,,False,COMPLETE
89,52.839999999999996,2025-01-15 09:11:27.716933,2025-01-15 09:14:52.410792,0 days 00:03:24.693859,0.136883589351335,0.9347186123577524,1.031873435846833,0.45873346861252623,0.03453654861530505,17,2,Adam,0.6007678415591017,2,,False,COMPLETE
90,52.17,2025-01-15 09:14:52.486522,2025-01-15 09:17:14.016573,0 days 00:02:21.530051,0.12437042257550528,0.852655540681225,0.9300924402549826,0.5199441264884345,0.05383299175906135,8,3,SGD,0.6116921313878401,2,,False,COMPLETE
91,52.83,2025-01-15 09:17:14.074165,2025-01-15 09:21:11.076688,0 days 00:03:57.002523,0.08445778150269889,1.0641575486476695,0.8409911933289936,0.4451986164926965,0.032703837223695,14,3,SGD,0.47542285128963624,2,,False,COMPLETE
92,52.11,2025-01-15 09:21:11.152609,2025-01-15 09:27:39.671053,0 days 00:06:28.518444,0.0972318697213794,1.0159883519426112,1.114808316642853,0.46949486423653036,0.02594623866555272,21,1,SGD,0.8986357403155328,2,,False,COMPLETE
93,52.73,2025-01-15 09:27:39.743572,2025-01-15 09:31:11.143076,0 days 00:03:31.399504,0.05407321405844465,0.9676425723802473,1.0492304558463728,0.39308762337433933,0.04063167666228809,16,4,SGD,0.38427358473739315,2,,False,COMPLETE
94,52.629999999999995,2025-01-15 09:31:11.217617,2025-01-15 09:36:55.581474,0 days 00:05:44.363857,0.14574147891900152,1.0858169837216216,0.9741938492563308,0.3681128304622352,0.008417497059163176,18,3,SGD,0.6674189040545105,2,,False,COMPLETE
95,52.35999999999999,2025-01-15 09:36:55.645776,2025-01-15 09:43:06.773483,0 days 00:06:11.127707,0.07161077392894834,1.1733896722592512,0.6799415478231867,0.439107597776722,0.022801773515838397,13,3,SGD,0.49509167960253686,2,,False,COMPLETE
96,52.49,2025-01-15 09:43:06.839095,2025-01-15 09:53:08.017508,0 days 00:10:01.178413,0.5146990596772307,1.2475216057653096,0.9708538557479334,0.4124165720213468,0.0006171809695436105,10,3,SGD,0.3916773934241729,2,,False,COMPLETE
97,51.43,2025-01-15 09:53:08.086475,2025-01-15 09:58:51.026394,0 days 00:05:42.939919,0.7293576486588251,1.1536253734652886,0.8690501348661864,0.3483821009418652,0.013057561963058422,23,1,SGD,0.5713710937898784,2,,False,COMPLETE
98,52.449999999999996,2025-01-15 09:58:51.098867,2025-01-15 10:04:46.219508,0 days 00:05:55.120641,0.10942774432656027,1.0414494405470518,1.087387726821129,0.4766096766018552,0.0024397809568163253,20,2,SGD,0.25698518643513274,1,,False,COMPLETE
99,52.949999999999996,2025-01-15 10:04:46.291721,2025-01-15 10:09:18.992092,0 days 00:04:32.700371,0.08705050476161014,0.9166176111417861,1.2378820533686001,0.41355866146325204,0.016597564784185954,16,4,SGD,0.7429010459049777,2,,False,COMPLETE
100,43.5,2025-01-15 10:09:19.065935,2025-01-15 10:12:10.432815,0 days 00:02:51.366880,0.1621748645640664,0.505620808234776,1.9565154724763387,0.8926004722037717,0.01704670385755086,16,4,SGD,0.7598357820374259,2,8.1553937701953,True,COMPLETE
101,52.629999999999995,2025-01-15 10:12:10.510913,2025-01-15 10:16:45.325012,0 days 00:04:34.814099,0.08592958108228405,0.9087141725372927,1.2241601622334821,0.45420762219257255,0.013033123922354218,13,5,SGD,0.9301457744938586,2,,False,COMPLETE
102,52.839999999999996,2025-01-15 10:16:45.407486,2025-01-15 10:24:14.549690,0 days 00:07:29.142204,0.1254120671646184,0.8040018602146803,1.1275158441277426,0.41113305782533094,0.0019007527736425735,19,5,SGD,0.3279965734806632,2,,False,COMPLETE
103,47.3,2025-01-15 10:24:14.621087,2025-01-15 10:30:36.494835,0 days 00:06:21.873748,0.07939820421224905,0.21821930074280083,1.3188296324620947,0.5008673131678152,0.006818038793392914,18,4,SGD,0.6672955166943697,2,,False,COMPLETE
104,52.669999999999995,2025-01-15 10:30:36.567422,2025-01-15 10:36:32.658520,0 days 00:05:56.091098,0.10177889137560053,1.3113479340639007,0.9814177296318687,0.43095244085735196,0.024874919727818193,15,4,SGD,0.44403995020112047,2,,False,COMPLETE
105,52.400000000000006,2025-01-15 10:36:32.729021,2025-01-15 10:42:19.250298,0 days 00:05:46.521277,0.06749102226347893,1.214280546942188,1.0570033656438906,0.3795538141926178,0.0035085545556313848,21,2,SGD,0.5423118486850926,0,,False,COMPLETE
